[2026-05-21T10:24:51.209179] ERROR | 20240521 Resume Uniting .doc | not an OLE2 structured storage file
[2026-05-21T10:25:04.860875] ERROR | Cheat Sheet.pdf | Extracted text too short or empty
[2026-05-29T06:27:46.989474] ERROR | audit_and_repair_database/_call_gemini | Timeout of 600.0s exceeded, last exception: 503 DNS resolution failed for generativelanguage.googleapis.com:443: C-ares status is not ARES_SUCCESS qtype=SRV name=_grpclb._tcp.generativelanguage.googleapis.com: Could not contact DNS servers
[2026-05-29T06:37:42.755386] ERROR | audit_and_repair_database/_call_gemini | Timeout of 600.0s exceeded, last exception: 503 DNS resolution failed for generativelanguage.googleapis.com:443: C-ares status is not ARES_SUCCESS qtype=SRV name=_grpclb._tcp.generativelanguage.googleapis.com: Could not contact DNS servers
[2026-05-29T06:47:36.667510] ERROR | audit_and_repair_database/_call_gemini | Timeout of 600.0s exceeded, last exception: 503 DNS resolution failed for generativelanguage.googleapis.com:443: C-ares status is not ARES_SUCCESS qtype=SRV name=_grpclb._tcp.generativelanguage.googleapis.com: Could not contact DNS servers
[2026-05-29T06:57:34.731731] ERROR | audit_and_repair_database/_call_gemini | Timeout of 600.0s exceeded, last exception: 503 DNS resolution failed for generativelanguage.googleapis.com:443: C-ares status is not ARES_SUCCESS qtype=SRV name=_grpclb._tcp.generativelanguage.googleapis.com: Could not contact DNS servers
[2026-05-29T07:07:33.749225] ERROR | audit_and_repair_database/_call_gemini | Timeout of 600.0s exceeded, last exception: 503 DNS resolution failed for generativelanguage.googleapis.com:443: C-ares status is not ARES_SUCCESS qtype=SRV name=_grpclb._tcp.generativelanguage.googleapis.com: Could not contact DNS servers
[2026-05-29T07:17:33.216015] ERROR | audit_and_repair_database/_call_gemini | Timeout of 600.0s exceeded, last exception: 503 DNS resolution failed for generativelanguage.googleapis.com:443: C-ares status is not ARES_SUCCESS qtype=SRV name=_grpclb._tcp.generativelanguage.googleapis.com: Could not contact DNS servers
[2026-05-30T02:01:14.652101] ERROR | audit_and_repair_database/_call_gemini | 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}
[2026-05-30T02:01:16.655380] ERROR | audit_and_repair_database/_call_gemini | 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}
[2026-05-30T02:01:32.613337] ERROR | audit_and_repair_database/_call_gemini | 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}
[2026-05-30T02:01:34.454569] ERROR | audit_and_repair_database/_call_gemini | 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}
[2026-05-30T02:02:16.630724] ERROR | audit_and_repair_database/_call_gemini | 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}
[2026-05-30T02:02:40.223102] ERROR | audit_and_repair_database/_call_gemini | 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}
